period_start_ins,period_end_ins,component,power,time
15584696,15840056,core-alu,0.405378,2016.0
15840056,16095416,core-alu,0.405378,2032.0
16095416,16350776,core-alu,0.405378,2048.0
16350776,16606136,core-alu,0.405378,2064.0
16606136,16861496,core-alu,0.405378,2080.0
16861496,17116862,core-alu,0.405378,2096.0
17116862,17372222,core-alu,0.405378,2112.0
17372222,17627582,core-alu,0.405378,2128.0
17627582,17882942,core-alu,0.405378,2144.0
17882942,18138302,core-alu,0.405378,2160.0
18138302,18393662,core-alu,0.405378,2176.0
18393662,18649022,core-alu,0.405378,2192.0
18649022,18904382,core-alu,0.405378,2208.0
18904382,19159742,core-alu,0.405378,2224.0
19159742,19415102,core-alu,0.405378,2240.0
19415102,19670468,core-alu,0.405378,2256.0
19670468,19925828,core-alu,0.405378,2272.0
19925828,20181188,core-alu,0.405378,2288.0
20181188,20436548,core-alu,0.405378,2304.0
20436548,20691908,core-alu,0.405378,2320.0
20691908,20947268,core-alu,0.405378,2336.0
20947268,21202628,core-alu,0.405378,2352.0
21202628,21457988,core-alu,0.405378,2368.0
21457988,21713348,core-alu,0.405378,2384.0
21713348,21968708,core-alu,0.405378,2400.0
21968708,22224068,core-alu,0.405378,2416.0
22224068,22479434,core-alu,0.405378,2432.0
22479434,22734794,core-alu,0.405378,2448.0
22734794,22990154,core-alu,0.405378,2464.0
22990154,23245514,core-alu,0.405378,2480.0
23245514,23500874,core-alu,0.405378,2496.0
23500874,23756234,core-alu,0.405378,2512.0
23756234,24011594,core-alu,0.405378,2528.0
24011594,24266954,core-alu,0.405378,2544.0
24266954,24522314,core-alu,0.405378,2560.0
24522314,24777674,core-alu,0.405378,2576.0
24777674,25033040,core-alu,0.405378,2592.0
25033040,25281690,core-alu,0.412386,2608.0
25281690,25518217,core-alu,0.424468,2624.0
25518217,25773577,core-alu,0.405378,2640.0
25773577,26028937,core-alu,0.405378,2656.0
26028937,26284297,core-alu,0.405378,2672.0
26284297,26539657,core-alu,0.405378,2688.0
26539657,26795017,core-alu,0.405378,2704.0
26795017,27050377,core-alu,0.405378,2720.0
27050377,27305737,core-alu,0.405378,2736.0
27305737,27561097,core-alu,0.405378,2752.0
27561097,27816463,core-alu,0.405378,2768.0
27816463,28071823,core-alu,0.405378,2784.0
28071823,28327183,core-alu,0.405378,2800.0
28327183,28582543,core-alu,0.405378,2816.0
28582543,28837903,core-alu,0.405378,2832.0
28837903,29093263,core-alu,0.405378,2848.0
29093263,29348623,core-alu,0.405378,2864.0
29348623,29603983,core-alu,0.405378,2880.0
29603983,29859343,core-alu,0.405378,2896.0
29859343,30114703,core-alu,0.405378,2912.0
30114703,30370069,core-alu,0.405378,2928.0
30370069,30625429,core-alu,0.405378,2944.0
30625429,30880789,core-alu,0.405378,2960.0
30880789,31136149,core-alu,0.405378,2976.0
31136149,31391509,core-alu,0.405378,2992.0
31391509,31646869,core-alu,0.405378,3008.0
31646869,31902229,core-alu,0.405378,3024.0
31902229,32157589,core-alu,0.405378,3040.0
32157589,32412949,core-alu,0.405378,3056.0
32412949,32668309,core-alu,0.405378,3072.0
32668309,32923675,core-alu,0.405378,3088.0
32923675,33179035,core-alu,0.405378,3104.0
33179035,33434395,core-alu,0.405378,3120.0
