directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-68000004-periodicins-69000032-1000028.txt,periodicins-68000004,periodicins-69000032,20.2851,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-52000006-periodicins-53000002-999996.txt,periodicins-52000006,periodicins-53000002,30.3648,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-66000011-periodicins-67000013-1000002.txt,periodicins-66000011,periodicins-67000013,20.2873,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-83000006-periodicins-84000002-999996.txt,periodicins-83000006,periodicins-84000002,30.3884,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-120000021-periodicins-121000003-999982.txt,periodicins-120000021,periodicins-121000003,20.3945,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-78000012-periodicins-79000003-999991.txt,periodicins-78000012,periodicins-79000003,24.4501,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-7000003-periodicins-8000005-1000002.txt,periodicins-7000003,periodicins-8000005,30.3649,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-69000009-periodicins-70000038-1000029.txt,periodicins-69000009,periodicins-70000038,20.166,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-69000032-periodicins-70000009-999977.txt,periodicins-69000032,periodicins-70000009,20.1552,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-131000006-periodicins-132000002-999996.txt,periodicins-131000006,periodicins-132000002,30.3651,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-114000028-periodicins-115000014-999986.txt,periodicins-114000028,periodicins-115000014,20.2377,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-141000006-periodicins-142000006-1000000.txt,periodicins-141000006,periodicins-142000006,20.2082,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-150000013-periodicins-151000023-1000010.txt,periodicins-150000013,periodicins-151000023,20.5193,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-132000002-periodicins-133000004-1000002.txt,periodicins-132000002,periodicins-133000004,30.3886,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-27000004-periodicins-28000003-999999.txt,periodicins-27000004,periodicins-28000003,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-45000025-periodicins-46000004-999979.txt,periodicins-45000025,periodicins-46000004,20.6192,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-14000002-periodicins-15000004-1000002.txt,periodicins-14000002,periodicins-15000004,30.3645,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-8000005-periodicins-9000004-999999.txt,periodicins-8000005,periodicins-9000004,30.3888,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-81000002-periodicins-82000004-1000002.txt,periodicins-81000002,periodicins-82000004,30.3887,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-103000032-periodicins-104000056-1000024.txt,periodicins-103000032,periodicins-104000056,20.2933,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-43000035-periodicins-44000026-999991.txt,periodicins-43000035,periodicins-44000026,20.576,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-84000004-periodicins-85000003-999999.txt,periodicins-84000004,periodicins-85000003,30.3887,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-102000025-periodicins-103000032-1000007.txt,periodicins-102000025,periodicins-103000032,20.1631,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-56000002-periodicins-57000004-1000002.txt,periodicins-56000002,periodicins-57000004,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-111000007-periodicins-112000008-1000001.txt,periodicins-111000007,periodicins-112000008,20.2308,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-22000003-periodicins-23000005-1000002.txt,periodicins-22000003,periodicins-23000005,30.3894,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-17000005-periodicins-18000002-999997.txt,periodicins-17000005,periodicins-18000002,29.8169,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-43000014-periodicins-44000004-999990.txt,periodicins-43000014,periodicins-44000004,20.4379,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-59000003-periodicins-60000005-1000002.txt,periodicins-59000003,periodicins-60000005,30.3889,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-49000006-periodicins-50000002-999996.txt,periodicins-49000006,periodicins-50000002,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-127000019-periodicins-128000034-1000015.txt,periodicins-127000019,periodicins-128000034,20.4391,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-124000019-periodicins-125000006-999987.txt,periodicins-124000019,periodicins-125000006,22.2592,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-123000004-periodicins-124000003-999999.txt,periodicins-123000004,periodicins-124000003,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-16000006-periodicins-17000002-999996.txt,periodicins-16000006,periodicins-17000002,30.365,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-18000002-periodicins-19000004-1000002.txt,periodicins-18000002,periodicins-19000004,29.9034,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-22000004-periodicins-23000003-999999.txt,periodicins-22000004,periodicins-23000003,30.3885,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-46000004-periodicins-47000023-1000019.txt,periodicins-46000004,periodicins-47000023,20.4068,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-68000017-periodicins-69000009-999992.txt,periodicins-68000017,periodicins-69000009,20.2675,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-124000003-periodicins-125000020-1000017.txt,periodicins-124000003,periodicins-125000020,23.6829,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-9000004-periodicins-10000003-999999.txt,periodicins-9000004,periodicins-10000003,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-79000003-periodicins-80000005-1000002.txt,periodicins-79000003,periodicins-80000005,30.3886,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-89000006-periodicins-90000002-999996.txt,periodicins-89000006,periodicins-90000002,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-15000004-periodicins-16000003-999999.txt,periodicins-15000004,periodicins-16000003,30.3889,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-40000054-periodicins-41000013-999959.txt,periodicins-40000054,periodicins-41000013,20.1668,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-130000004-periodicins-131000006-1000002.txt,periodicins-130000004,periodicins-131000006,30.3887,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-117000007-periodicins-118000003-999996.txt,periodicins-117000007,periodicins-118000003,20.115,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-25000004-periodicins-26000003-999999.txt,periodicins-25000004,periodicins-26000003,30.3894,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-105000020-periodicins-106000033-1000013.txt,periodicins-105000020,periodicins-106000033,20.5561,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-128000006-periodicins-129000002-999996.txt,periodicins-128000006,periodicins-129000002,30.389,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-115000014-periodicins-116000029-1000015.txt,periodicins-115000014,periodicins-116000029,20.2097,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-144000016-periodicins-145000003-999987.txt,periodicins-144000016,periodicins-145000003,20.4122,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-96000003-periodicins-97000005-1000002.txt,periodicins-96000003,periodicins-97000005,30.365,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-1000058-periodicins-2000006-999948.txt,periodicins-1000058,periodicins-2000006,9.54238,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-120000004-periodicins-121000003-999999.txt,periodicins-120000004,periodicins-121000003,30.3888,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-10000003-periodicins-11000005-1000002.txt,periodicins-10000003,periodicins-11000005,30.3885,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-51000004-periodicins-52000006-1000002.txt,periodicins-51000004,periodicins-52000006,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-126000041-periodicins-127000019-999978.txt,periodicins-126000041,periodicins-127000019,20.3199,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-23000005-periodicins-24000004-999999.txt,periodicins-23000005,periodicins-24000004,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-65000029-periodicins-66000011-999982.txt,periodicins-65000029,periodicins-66000011,20.2124,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-48000002-periodicins-49000004-1000002.txt,periodicins-48000002,periodicins-49000004,25.8334,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-125000006-periodicins-126000002-999996.txt,periodicins-125000006,periodicins-126000002,30.3884,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-6000004-periodicins-7000006-1000002.txt,periodicins-6000004,periodicins-7000006,30.3902,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-151000023-periodicins-152000011-999988.txt,periodicins-151000023,periodicins-152000011,20.5164,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-67000040-periodicins-68000004-999964.txt,periodicins-67000040,periodicins-68000004,20.3194,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-70000009-periodicins-71000017-1000008.txt,periodicins-70000009,periodicins-71000017,20.1365,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-13000003-periodicins-14000005-1000002.txt,periodicins-13000003,periodicins-14000005,30.3894,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-82000003-periodicins-83000005-1000002.txt,periodicins-82000003,periodicins-83000005,30.3892,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-71000017-periodicins-72000004-999987.txt,periodicins-71000017,periodicins-72000004,20.0834,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-93000004-periodicins-94000003-999999.txt,periodicins-93000004,periodicins-94000003,30.3885,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-71000013-periodicins-72000002-999989.txt,periodicins-71000013,periodicins-72000002,20.0776,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-80000005-periodicins-81000004-999999.txt,periodicins-80000005,periodicins-81000004,30.3651,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-64000004-periodicins-65000029-1000025.txt,periodicins-64000004,periodicins-65000029,20.8381,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-121000003-periodicins-122000005-1000002.txt,periodicins-121000003,periodicins-122000005,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-15000004-periodicins-16000006-1000002.txt,periodicins-15000004,periodicins-16000006,30.3893,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-70000038-periodicins-71000013-999975.txt,periodicins-70000038,periodicins-71000013,20.0624,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-133000010-periodicins-134000022-1000012.txt,periodicins-133000010,periodicins-134000022,20.1436,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-98000004-periodicins-99000003-999999.txt,periodicins-98000004,periodicins-99000003,30.3651,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-20000005-periodicins-21000004-999999.txt,periodicins-20000005,periodicins-21000004,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-116000029-periodicins-117000007-999978.txt,periodicins-116000029,periodicins-117000007,20.0268,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-121000003-periodicins-122000015-1000012.txt,periodicins-121000003,periodicins-122000015,20.618,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-11000002-periodicins-12000004-1000002.txt,periodicins-11000002,periodicins-12000004,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-138000002-periodicins-139000004-1000002.txt,periodicins-138000002,periodicins-139000004,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-60000005-periodicins-61000004-999999.txt,periodicins-60000005,periodicins-61000004,30.3649,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-11000005-periodicins-12000004-999999.txt,periodicins-11000005,periodicins-12000004,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-118000003-periodicins-119000009-1000006.txt,periodicins-118000003,periodicins-119000009,20.0825,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-92000006-periodicins-93000002-999996.txt,periodicins-92000006,periodicins-93000002,30.3884,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_512-512_barnes-intervals,512,512,power-periodicins-39000006-periodicins-40000019-1000013.txt,periodicins-39000006,periodicins-40000019,20.2198,0.0,0.0
