directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_simple_branch_2048,118605,10574,6569,16494100,114107,6169,833,16494100
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_1024,118430,8662,6556,16496000,111978,6830,868,16496000
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_4096,118315,8599,6562,16504600,112936,6802,802,16504600
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_2048,117717,8365,6610,16504700,110773,6728,765,16504700
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_512,117946,10325,6622,16517700,112969,6103,756,16517700
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_4096,118346,10296,6638,16540900,113049,6334,741,16540900
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_4096,117474,8317,6582,16547300,114690,6727,757,16547300
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,118469,8345,6595,16551300,114674,6767,751,16551300
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,118947,8330,6590,16620100,115147,6644,758,16620100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_4096,116859,10441,6389,17376500,113093,6138,914,17376500
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024,116759,10311,6423,17378500,112598,6066,895,17378500
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_1024,117775,10651,6567,17387000,113129,5980,850,17387000
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_1024,117935,8653,6548,17398400,113359,6739,821,17398400
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_1024,116344,8642,6378,17398600,112647,6422,905,17398600
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_4096,118096,10326,6494,17402100,113367,6227,797,17402100
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_2048,116775,8561,6439,17403900,112722,6604,850,17403900
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_2048,116588,10543,6456,17407400,112845,6325,904,17407400
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_2048,117719,10355,6444,17409900,112579,6103,832,17409900
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_512,116766,8571,6445,17412100,112760,6621,851,17412100
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_1024,117940,8548,6562,17420300,112769,6694,799,17420300
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,117713,10557,6507,17421900,112702,6067,881,17421900
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_2048,116772,10332,6431,17426800,112585,6012,865,17426800
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_none_branch_1024,117738,8626,6544,17428400,112723,6751,849,17428400
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_2048,116707,8614,6467,17430500,113028,6774,830,17430500
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_4096,117746,8645,6492,17432000,112809,6670,842,17432000
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,117756,8601,6587,17433500,112610,6752,798,17433500
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_512,118624,8644,6615,17434300,113326,6788,769,17434300
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_simple_branch_2048,117075,8598,6462,17442100,113448,6747,872,17442100
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_2048,116544,8784,6454,17443500,113028,6854,935,17443500
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_4096,116613,8545,6429,17445000,112830,6554,884,17445000
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_1024,116522,8746,6454,17445900,112903,6763,885,17445900
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_4096,117946,10386,6480,17451900,112597,6210,856,17451900
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_none_branch_2048,118360,8556,6510,17460900,112671,6766,790,17460900
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_2048,118034,10109,6626,17465300,111899,6129,756,17465300
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_512,116658,8806,6380,17465400,112756,6607,964,17465400
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,116784,8731,6394,17468600,113059,6477,899,17468600
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_2048,117895,10283,6628,17471700,112735,6178,760,17471700
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_ghb_branch_4096,117869,8362,6584,17482000,112925,6600,762,17482000
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,118256,10484,6531,17483500,114682,6204,857,17483500
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_ghb_branch_2048,117159,10431,6471,17485700,113365,6182,835,17485700
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_1024,117220,10204,6518,17489000,115316,6231,779,17489000
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_512,118298,8721,6495,17490100,112954,6841,879,17490100
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_2048,118126,10374,6560,17491600,114910,6255,802,17491600
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_1024,118271,8496,6492,17495900,112986,6826,838,17495900
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_none_branch_512,117168,8544,6517,17496000,114643,6679,797,17496000
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_none_branch_512,117317,8621,6484,17496400,114217,6725,861,17496400
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_1024,117228,10479,6485,17496600,112674,6218,881,17496600
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_none_branch_4096,117149,8773,6503,17503300,114882,7006,932,17503300
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_512,118378,8665,6504,17505000,113549,6946,887,17505000
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_none_branch_1024,118435,8352,6594,17512600,114719,6682,753,17512600
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,118961,8313,6586,17528600,113694,6768,756,17528600
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_ghb_branch_512,118346,10095,6628,17530100,114393,6235,752,17530100
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_512,118977,8345,6588,17535500,115229,6739,755,17535500
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_simple_branch_1024,118336,10385,6550,17540400,114096,6142,760,17540400
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,118384,8322,6594,17542200,114291,6729,752,17542200
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_1024,118389,8313,6592,17544000,114652,6723,754,17544000
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_ghb_branch_512,118426,8317,6593,17546100,114613,6757,757,17546100
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_ghb_branch_1024,116706,10377,6432,18348100,113007,6063,864,18348100
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,116811,10383,6420,18371000,111655,6085,876,18371000
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_simple_branch_2048,118185,8708,6513,18373900,112407,6696,875,18373900
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_512,118007,10459,6558,18383100,113127,6063,841,18383100
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_4096,118009,8691,6517,18383200,112660,6738,848,18383200
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_4096,116340,10283,6507,18391600,111214,6209,811,18391600
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_simple_branch_512,117769,8660,6527,18393300,112580,6611,793,18393300
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,116745,8567,6445,18394700,112211,6599,861,18394700
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_simple_branch_512,116580,8632,6419,18395100,112479,6623,864,18395100
