directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,116836,8614,6451,16477800,43830948,77336208,111887,6457,876,16477800,43830948,59439438
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,118384,8322,6594,17542200,46662252,93268998,114291,6729,752,17542200,46662252,59512853
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_1024,118269,10439,6554,15535000,41323100,61788391,113426,6237,877,15535000,41323100,54447027
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_simple_branch_512,116580,8632,6419,18395100,48930966,100839523,112479,6623,864,18395100,48930966,64716164
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,116811,10383,6420,18371000,48866860,93190348,111655,6085,876,18371000,48866860,69758378
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_simple_branch_1024,116823,8618,6464,19374800,51536968,93202270,112744,6569,843,19374800,51536968,69728979
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_2048,116544,8784,6454,17443500,46399710,93165469,113028,6854,935,17443500,46399710,59595353
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_2048,116775,8561,6439,17403900,46294374,77098263,112722,6604,850,17403900,46294374,64392390
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024,116759,10311,6423,17378500,46226810,85203846,112598,6066,895,17378500,46226810,69726209
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_4096,116340,10283,6507,18391600,48921656,101002757,111214,6209,811,18391600,48921656,64769414
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_4096,118009,8691,6517,18383200,48899312,93191882,112660,6738,848,18383200,48899312,64634646
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_simple_branch_2048,118185,8708,6513,18373900,48874574,93175233,112407,6696,875,18373900,48874574,64588996
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,116745,8567,6445,18394700,48929902,100855308,112211,6599,861,18394700,48929902,64717267
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_4096,117900,8707,6602,15488600,41199676,69582922,112640,6757,807,15488600,41199676,49151696
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_none_branch_2048,117751,8333,6618,15510700,41258462,69596167,113282,6704,760,15510700,41258462,53924719
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_4096,116613,8545,6429,17445000,46403700,93189536,112830,6554,884,17445000,46403700,59575437
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_4096,117607,10444,6482,16451900,43762054,85390863,112407,6357,853,16451900,43762054,54400934
/root/snipersim_framework/sample_code,2530,,,181300,482258,201933,122,,,181300,482258,3958
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_4096,116320,10570,6579,15437400,41063484,77231196,113149,6426,802,15437400,41063484,59381707
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_2048,116707,8614,6467,17430500,46365130,85520501,113028,6774,830,17430500,46365130,64586462
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_1024,117790,10446,6541,16461100,43786526,85459479,112473,6180,846,16461100,43786526,49165581
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_2048,117147,8558,6451,19435100,51697366,101273275,114684,6760,856,19435100,51697366,64734771
