Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_simple_branch_4096,13.8,17.86,0.68,7.51,1.8,2.01,1.35,2.53,1.98,5.61,4.29,0.82,3.99,3.38,0.03,35.97
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_ghb_branch_1024,10.77,17.95,0.69,7.54,1.82,2.0,1.35,2.58,1.96,5.7,4.29,0.85,0.84,3.38,0.03,33.04
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_1024,10.72,17.83,0.68,7.45,1.8,2.02,1.36,2.56,1.96,5.68,4.29,0.82,0.84,3.38,0.03,32.86
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_ghb_branch_4096,11.2,16.52,0.69,6.65,1.82,1.8,1.26,2.35,1.95,5.21,4.29,0.84,1.77,3.38,0.03,32.04
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_ghb_branch_1024,10.7,18.09,0.68,7.68,1.78,2.07,1.37,2.56,1.96,5.68,4.29,0.8,0.84,3.38,0.03,33.1
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_simple_branch_4096,11.26,17.39,0.67,7.33,1.77,1.96,1.31,2.4,1.95,5.34,4.28,0.78,1.77,3.38,0.03,32.95
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_2048,13.83,18.08,0.68,7.66,1.78,2.06,1.37,2.55,1.98,5.67,4.29,0.8,3.99,3.38,0.03,36.23
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_simple_branch_512,10.69,17.61,0.69,7.3,1.82,1.96,1.34,2.54,1.96,5.63,4.29,0.85,0.84,3.38,0.03,32.63
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_none_branch_1024,13.84,18.08,0.68,7.66,1.78,2.06,1.37,2.56,1.98,5.67,4.29,0.8,3.99,3.38,0.03,36.23
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_simple_branch_1024,13.7,17.78,0.68,7.5,1.78,2.01,1.34,2.49,1.98,5.54,4.29,0.8,3.99,3.38,0.03,35.8
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_ghb_branch_512,10.44,17.59,0.67,7.4,1.75,2.03,1.34,2.45,1.96,5.46,4.28,0.76,0.84,3.38,0.03,32.35
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_1024,13.74,18.0,0.67,7.64,1.76,2.06,1.36,2.52,1.98,5.6,4.28,0.78,3.99,3.38,0.03,36.06
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_simple_branch_1024,13.94,18.18,0.68,7.68,1.8,2.06,1.37,2.6,1.98,5.76,4.29,0.82,3.99,3.38,0.03,36.43
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_4096,10.52,17.24,0.69,7.1,1.82,1.9,1.31,2.47,1.96,5.46,4.29,0.85,0.84,3.38,0.03,32.08
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_ghb_branch_512,11.42,17.47,0.68,7.29,1.78,1.98,1.33,2.47,1.95,5.48,4.29,0.8,1.77,3.38,0.03,33.2
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_none_branch_512,10.48,17.45,0.68,7.28,1.78,1.97,1.32,2.46,1.96,5.47,4.29,0.8,0.84,3.38,0.03,32.25
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_simple_branch_1024,10.55,17.77,0.68,7.51,1.78,2.01,1.34,2.49,1.96,5.54,4.29,0.8,0.84,3.38,0.03,32.64
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_none_branch_512,11.85,18.29,0.69,7.73,1.82,2.06,1.39,2.65,1.95,5.86,4.29,0.85,1.77,3.38,0.03,34.46
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_simple_branch_2048,13.83,18.08,0.68,7.66,1.78,2.06,1.37,2.55,1.98,5.67,4.29,0.8,3.99,3.38,0.03,36.23
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_simple_branch_2048,10.69,18.07,0.68,7.66,1.78,2.06,1.37,2.56,1.96,5.68,4.29,0.8,0.84,3.38,0.03,33.08
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_512,10.54,17.74,0.68,7.49,1.78,2.01,1.34,2.49,1.96,5.53,4.29,0.8,0.84,3.38,0.03,32.59
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_ghb_branch_1024,11.03,16.46,0.68,6.69,1.78,1.83,1.25,2.29,1.95,5.09,4.29,0.8,1.77,3.38,0.03,31.8
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_2048,14.06,18.29,0.69,7.72,1.82,2.06,1.38,2.64,1.98,5.85,4.29,0.85,3.99,3.38,0.03,36.68
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_simple_branch_512,11.62,18.07,0.68,7.67,1.78,2.06,1.37,2.56,1.95,5.68,4.29,0.8,1.77,3.38,0.03,34.01
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_2048,10.69,18.07,0.68,7.66,1.78,2.06,1.37,2.56,1.96,5.68,4.29,0.8,0.84,3.38,0.03,33.07
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_4096,10.68,18.04,0.68,7.65,1.78,2.06,1.37,2.55,1.96,5.67,4.29,0.8,0.84,3.38,0.03,33.04
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_2048,11.79,17.8,0.7,7.4,1.87,1.93,1.34,2.6,1.95,5.74,4.3,0.91,1.77,3.38,0.03,33.92
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_none_branch_4096,10.66,17.54,0.69,7.26,1.82,1.96,1.33,2.53,1.96,5.6,4.29,0.84,0.84,3.38,0.03,32.52
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_ghb_branch_4096,13.84,18.1,0.68,7.67,1.78,2.06,1.37,2.56,1.98,5.68,4.29,0.8,3.99,3.38,0.03,36.26
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_none_branch_1024,10.59,17.56,0.68,7.3,1.8,1.97,1.33,2.5,1.96,5.55,4.29,0.82,0.84,3.38,0.03,32.47
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_4096,11.48,17.46,0.68,7.22,1.78,1.99,1.34,2.5,1.95,5.54,4.29,0.8,1.77,3.38,0.03,33.26
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_simple_branch_512,13.5,16.88,0.68,6.87,1.8,1.87,1.29,2.4,1.98,5.32,4.29,0.82,3.99,3.38,0.03,34.71
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_simple_branch_1024,11.47,17.74,0.68,7.49,1.78,2.01,1.34,2.49,1.95,5.53,4.29,0.8,1.77,3.38,0.03,33.53
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_2048,10.72,18.24,0.67,7.78,1.76,2.11,1.38,2.58,1.96,5.72,4.28,0.78,0.84,3.38,0.03,33.28
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_ghb_branch_512,10.6,17.99,0.67,7.65,1.76,2.07,1.36,2.52,1.96,5.6,4.28,0.78,0.84,3.38,0.03,32.9
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_none_branch_512,11.52,17.96,0.67,7.63,1.76,2.06,1.36,2.52,1.95,5.6,4.28,0.78,1.77,3.38,0.03,33.78
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_simple_branch_2048,13.84,17.62,0.69,7.29,1.82,1.96,1.34,2.54,1.98,5.62,4.29,0.85,3.99,3.38,0.03,35.78
