directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,116183,9060,6433,21499100,57187606,77789173,113930,9305,938,21499100,38698380,49293750
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_none_branch_512,117013,8545,6471,18777000,49946820,69645342,113963,6762,850,18777000,33798600,45890262
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_none_branch_4096,118530,8668,6540,18827600,50081416,69624058,114467,7162,817,18827600,33889680,45885184
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_ghb_branch_2048,117875,11658,6561,18515200,49250432,53940585,113383,8144,816,18515200,33327360,45760247
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_simple_branch_1024,117089,10206,6487,19788600,52637676,62055403,113379,6265,799,19788600,35619480,45869573
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_ghb_branch_4096,118791,8487,6533,18779200,49952672,61661937,113295,6920,818,18779200,33802560,42287147
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_ghb_branch_4096,118551,8682,6571,20717500,55108550,69674152,114302,6924,831,20717500,37291500,49246729
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_simple_branch_2048,116766,8954,6510,19513600,51906176,69301067,113543,9407,845,19513600,35124480,49326693
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_ghb_branch_2048,118620,8576,6568,18826400,50078224,69664276,114197,6949,814,18826400,33887520,45891445
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_simple_branch_4096,116956,8694,6483,20648300,54924478,76866465,113619,6979,872,20648300,37166940,52566217
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_8192_prefetch_none_branch_512,117990,11601,6574,18623000,49537180,69779013,113767,8482,836,18623000,33521400,46159425
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_simple_branch_512,116273,8970,6533,19586800,52100888,69827494,114045,9274,805,19586800,35256240,45988412
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_4096_prefetch_simple_branch_4096,117040,10216,6450,19735700,52496962,77205013,113611,6389,853,19735700,35524260,49305694
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,116385,8995,6453,18507600,49230216,53573446,114352,9407,898,18507600,33313680,38623103
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_4096_prefetch_simple_branch_1024,117728,8968,6543,16703700,44431842,46031976,114233,9546,838,16703700,30066660,35450753
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_16384_prefetch_simple_branch_512,117197,8455,6495,22614600,60154836,69577587,114451,6941,828,22614600,40706280,48960986
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_ghb_branch_4096,116245,11464,6498,17642200,46928252,61929875,114074,8267,858,17642200,31755960,42615742
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_none_branch_4096,118500,8675,6613,18756900,49893354,62068509,113542,6911,795,18756900,33762420,45787332
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_none_branch_2048,117034,8604,6491,20733900,55152174,77173661,114235,6917,829,20733900,37321020,52629154
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_ghb_branch_1024,118447,8654,6573,18835000,50101100,69659275,114179,6925,819,18835000,33903000,42309849
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_4096_prefetch_simple_branch_2048,117002,8462,6466,19773100,52596446,69672885,113848,6804,822,19773100,35591580,49308708
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_simple_branch_2048,117421,9226,6475,18602400,49482384,69473898,114870,9591,876,18602400,33484320,46017881
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_8192_prefetch_simple_branch_2048,116209,9029,6450,17661200,46978792,53980657,114752,9417,882,17661200,31790160,39043176
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_12288_prefetch_ghb_branch_1024,116979,8529,6489,16840400,44795464,54130011,111914,6886,837,16840400,30312720,38901990
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_none_branch_4096,117779,8911,6541,20558400,54685344,77770538,115088,9430,832,20558400,37005120,42367155
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_16384_prefetch_none_branch_2048,117811,8534,6484,19741300,52511858,69677289,113386,6951,821,19741300,35534340,45721242
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_12288_prefetch_simple_branch_1024,117103,8471,6506,17834600,47440036,62072942,113156,6882,811,17834600,32102280,42480973
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_1024_l3MB_8192_prefetch_simple_branch_2048,118477,8307,6647,19867000,52846220,77601068,113330,6845,752,19867000,35760600,45909615
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_16384_prefetch_simple_branch_4096,118533,10407,6573,18769500,49926870,61708191,114425,6265,775,18769500,33785100,45710524
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_simple_branch_512,118686,8592,6557,21770500,57909530,92624213,113515,6887,766,21770500,39186900,56269173
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_none_branch_1024,118491,10232,6646,16844900,44807434,54111874,113252,6354,749,16844900,30320820,35312002
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_simple_branch_1024,118543,10458,6548,19718100,52450146,69550849,114041,6317,801,19718100,35492580,49284573
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_512_l3MB_16384_prefetch_simple_branch_1024,117124,8536,6512,20703100,55070246,77210813,114180,6923,801,20703100,37265580,52639643
/root/snipersim_framework/freq_2.6_1.8_barnes_config_l2_256_l3MB_12288_prefetch_none_branch_512,117464,11787,6495,18593700,49459242,61908014,114594,8529,881,18593700,33468660,42447450
