directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/cholesky_config_l2_512_l3MB_8192_prefetch_ghb_branch_1024,50797,101927,50654,20575200,54730032,149429186,8501,30283,8509,20575200,54730032,82737474
/root/snipersim_framework/cholesky_config_l2_256_l3MB_8192_prefetch_ghb_branch_2048,50793,128159,50669,20686700,55026622,149329761,8503,33519,8501,20686700,55026622,82695365
/root/snipersim_framework/cholesky_config_l2_512_l3MB_12288_prefetch_simple_branch_4096,50790,102064,50655,20574700,54728702,149426182,8501,30287,8508,20574700,54728702,82734448
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_none_branch_2048,50805,84636,50686,20539500,54635070,149517519,8515,27899,8495,20539500,54635070,82760360
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_none_branch_4096,50798,85143,50672,20540500,54637730,149512360,8502,27925,8495,20540500,54637730,82757485
/root/snipersim_framework/cholesky_config_l2_512_l3MB_8192_prefetch_simple_branch_1024,50784,102180,50651,20578900,54739874,149411979,8514,30301,8513,20578900,54739874,82733421
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_none_branch_512,50825,84781,50707,20538200,54631612,149508382,8384,27867,8460,20538200,54631612,82762583
/root/snipersim_framework/cholesky_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,50799,128514,50696,20690900,55037794,149329181,8519,33536,8471,20690900,55037794,82695583
/root/snipersim_framework/cholesky_config_l2_256_l3MB_8192_prefetch_simple_branch_4096,50773,128225,50652,20686900,55027154,149331080,8506,33578,8511,20686900,55027154,82694430
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_ghb_branch_1024,50790,85323,50663,20538400,54632144,149496000,8450,27885,8503,20538400,54632144,82759491
/root/snipersim_framework/cholesky_config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,50786,128215,50654,20686300,55025558,149325080,8505,33536,8511,20686300,55025558,82695438
/root/snipersim_framework/cholesky_config_l2_256_l3MB_4096_prefetch_ghb_branch_2048,50773,128144,50663,20683800,55018908,149326940,8510,33525,8502,20683800,55018908,82695232
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_none_branch_512,50800,85279,50655,20537800,54630548,149493305,8509,27882,8511,20537800,54630548,82755531
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_none_branch_2048,50776,84966,50664,20535700,54624962,149511271,8506,27837,8505,20535700,54624962,82757700
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_none_branch_1024,50820,85242,50668,20537900,54630814,149507141,8509,27980,8502,20537900,54630814,82752548
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_8192_prefetch_ghb_branch_512,50797,84691,50671,20537600,54630016,149516077,8502,27923,8500,20537600,54630016,82756466
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,50785,85116,50662,20537700,54630282,149508939,8502,27847,8505,20537700,54630282,82758425
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_simple_branch_4096,50776,84798,50666,20537800,54630548,149514481,8509,27829,8500,20537800,54630548,82760306
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_12288_prefetch_simple_branch_4096,50804,84761,50678,20537800,54630548,149513477,8502,27933,8495,20537800,54630548,82758572
/root/snipersim_framework/cholesky_config_l2_512_l3MB_8192_prefetch_ghb_branch_4096,50753,101956,50675,20574200,54727372,149427277,8465,30497,8492,20574200,54727372,82738487
/root/snipersim_framework/cholesky_config_l2_256_l3MB_12288_prefetch_simple_branch_2048,50789,128266,50665,20686300,55025558,149320945,8511,33574,8502,20686300,55025558,82691314
/root/snipersim_framework/cholesky_config_l2_512_l3MB_4096_prefetch_none_branch_512,50829,102187,50685,20573900,54726574,149421462,8518,30372,8487,20573900,54726574,82740451
