directory,period,branch_predictor.num-correct_core0,branch_predictor.num-correct_core1,branch_predictor.num-incorrect_core0,branch_predictor.num-incorrect_core1,L2.load-misses_core0,L2.load-misses_core1,L2.loads_core0,L2.loads_core1,L2.stores_core0,L2.stores_core1,L2.store-misses_core0,L2.store-misses_core1,core.instructions_core0,core.instructions_core1,performance_model.elapsed_time_core0,performance_model.elapsed_time_core1,performance_model.idle_elapsed_time_core0,performance_model.idle_elapsed_time_core1,performance_model.instruction_count_core0,performance_model.instruction_count_core1,L3.load-misses_core0,L3.load-misses_core1,L3.loads_core0,L3.loads_core1,L3.stores_core0,L3.stores_core1,L3.store-misses_core0,L3.store-misses_core1,L2.evict-E_core0,L2.evict-E_core1,L2.evict-I_core0,L2.evict-I_core1,L2.evict-M_core0,L2.evict-M_core1,L2.evict-O_core0,L2.evict-O_core1,L2.evict-prefetch_core0,L2.evict-prefetch_core1,L2.evict-S_core0,L2.evict-S_core1,L2.evict-u_core0,L2.evict-u_core1,L2.evict-warmup_core0,L2.evict-warmup_core1,L1-D.loads_core0,L1-D.loads_core1,L1-D.stores_core0,L1-D.stores_core1,rob_timer.uop_fp_addsub_core0,rob_timer.uop_fp_addsub_core1,rob_timer.uop_fp_muldiv_core0,rob_timer.uop_fp_muldiv_core1,rob_timer.uops_x87_core0,rob_timer.uops_x87_core1,rob_timer.uop_load_core0,rob_timer.uop_load_core1,rob_timer.uop_store_core0,rob_timer.uop_store_core1,rob_timer.uop_generic_core0,rob_timer.uop_generic_core1,rob_timer.uop_branch_core0,rob_timer.uop_branch_core1,power.core[0].total_core0,power.core[0].total_core1,power.core[0].dynamic_core0,power.core[0].dynamic_core1,power.core[0].leakage_core0,power.core[0].leakage_core1,power.core[1].total_core0,power.core[1].total_core1,power.core[1].dynamic_core0,power.core[1].dynamic_core1,power.core[1].leakage_core0,power.core[1].leakage_core1,l2_most_usage_core0,l2_most_usage_core1,normalized_commit_float_core0,normalized_commit_float_core1,normalized_commit_mem_core0,normalized_commit_mem_core1,normalized_commit_int_core0,normalized_commit_int_core1,l1_data_access_core0,l1_data_access_core1,normalized_commit_ctrl_core0,normalized_commit_ctrl_core1,l2_avg_eviction_rate_core0,l2_avg_eviction_rate_core1,l2_most_hit_rate_core0,l2_most_hit_rate_core1,l3_usage_core0,l3_usage_core1,branch_mispred_rate_core0,branch_mispred_rate_core1
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,roi-begin:periodicins-1000002,22929.0,0.0,4.0,0.0,16.0,0.0,16.0,0.0,1154.0,0.0,1154.0,0.0,1000002.0,0.0,223400000000.0,223400000000.0,119301608.0,223400000000.0,655534.0,0.0,16.0,0.0,16.0,0.0,1154.0,0.0,1154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169575.0,0.0,100816.0,0.0,9166.0,0.0,0.0,0.0,0.0,0.0,169582.0,0.0,100826.0,0.0,371433.0,0.0,87096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,0.0,0.009165981668036664,0.0,0.27040745918508163,0.0,0.3714322571354857,0.0,270391.0,0.0,0.08709582580834839,0.0,0.0,0.0,0.0,0.0,1170.0,0.0,0.00017442113984214886,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,periodicins-1000002:1000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,1000002:periodicins-2000024,34986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,1755.0,0.0,1000022.0,0.0,142000000000.0,142000000000.0,38666698.0,142000000000.0,1000025.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258715.0,0.0,153823.0,0.0,13984.0,0.0,0.0,0.0,0.0,0.0,258715.0,0.0,153824.0,0.0,566481.0,0.0,132873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,0.013983692358768108,0.0,0.41252992434166447,0.0,0.5664685376921708,0.0,412538.0,0.0,0.13287007685830912,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,periodicins-2000024:2000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,2000024:periodicins-3000004,34986.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,1757.0,0.0,1757.0,0.0,999980.0,0.0,142100000000.0,142100000000.0,21749669.0,142100000000.0,999980.0,0.0,0.0,0.0,15.0,0.0,1757.0,0.0,1755.0,0.0,14.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258705.0,0.0,153817.0,0.0,13983.0,0.0,0.0,0.0,0.0,0.0,258703.0,0.0,153816.0,0.0,566458.0,0.0,132871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,0.0,0.013983279665593313,0.0,0.4125272505450109,0.0,0.5664693293865878,0.0,412522.0,0.0,0.13287365747314947,0.0,0.33803611738148986,0.0,0.0,0.0,1772.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,periodicins-3000004:3000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,3000004:periodicins-4000003,34988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,1755.0,0.0,999999.0,0.0,141900000000.0,141900000000.0,-56822034.0,141900000000.0,1000014.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,1755.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258708.0,0.0,153819.0,0.0,13983.0,0.0,0.0,0.0,0.0,0.0,258707.0,0.0,153819.0,0.0,566469.0,0.0,132871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,0.013983013983013983,0.0,0.41252641252641253,0.0,0.5664695664695665,0.0,412527.0,0.0,0.13287113287113286,0.0,1.0,0.0,0.0,0.0,1755.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,periodicins-4000003:4000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,4000003:periodicins-5000002,34984.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,1756.0,0.0,1756.0,0.0,999999.0,0.0,142100000000.0,142100000000.0,20997791.0,142100000000.0,999982.0,0.0,0.0,0.0,13.0,0.0,1756.0,0.0,1754.0,0.0,13.0,0.0,0.0,0.0,1756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258710.0,0.0,153820.0,0.0,13984.0,0.0,0.0,0.0,0.0,0.0,258710.0,0.0,153821.0,0.0,566467.0,0.0,132871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0,0.0,0.013984013984013985,0.0,0.4125314125314125,0.0,0.5664675664675665,0.0,412530.0,0.0,0.13287113287113286,0.0,1.0,0.0,0.0,0.0,1769.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,periodicins-5000002:5000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048-2048_fft-intervals,5000002:periodicins-6000020,34987.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1755.0,0.0,1755.0,0.0,1000018.0,0.0,142000000000.0,142000000000.0,35659186.0,142000000000.0,1000020.0,0.0,0.0,0.0,2.0,0.0,1755.0,0.0,1755.0,0.0,1.0,0.0,0.0,0.0,1756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258711.0,0.0,153818.0,0.0,13984.0,0.0,0.0,0.0,0.0,0.0,258714.0,0.0,153818.0,0.0,566483.0,0.0,132870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.0,0.0,0.013983748292530735,0.0,0.41252457455765795,0.0,0.5664728034895372,0.0,412529.0,0.0,0.13286760838304912,0.0,1.0,0.0,0.0,0.0,1757.0,0.0,0.0,0.0
