directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_2048,645,1658,1367,237300,631218,274614,503,1197,449,237300,631218,174259
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,657,1675,1393,240800,640528,273556,476,1164,417,240800,640528,172563
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_none_branch_4096,647,1674,1375,239600,637336,274636,501,1198,439,239600,637336,174277
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,655,1662,1319,237300,631218,272355,509,1190,505,237300,631218,176278
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_simple_branch_2048,656,1662,1366,249800,664468,274752,508,1203,446,249800,664468,174293
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_ghb_branch_4096,651,1666,1354,235900,627494,272487,524,1229,470,235900,627494,176554
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_simple_branch_4096,651,1657,1359,239100,636006,274616,508,1207,455,239100,636006,174335
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_ghb_branch_4096,644,1664,1350,240000,638400,273051,508,1198,456,240000,638400,174507
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,640,1649,1335,241400,642124,272285,507,1192,472,241400,642124,174339
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_ghb_branch_1024,656,1688,1332,241500,642390,273804,498,1172,479,241500,642390,174915
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_none_branch_512,655,1662,1369,242000,643720,274402,505,1194,445,242000,643720,174410
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_simple_branch_512,646,1667,1351,239300,636538,274649,504,1197,464,239300,636538,174271
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_512,637,1638,1336,241300,641858,272196,512,1183,471,241300,641858,174330
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_none_branch_4096,654,1693,1361,240700,640262,272829,520,1218,461,240700,640262,176230
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,653,1663,1381,240400,639464,274721,512,1197,441,240400,639464,174335
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_simple_branch_1024,658,1661,1314,236400,628824,272435,511,1207,509,236400,628824,176334
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_simple_branch_2048,650,1663,1374,241400,642124,274427,510,1190,441,241400,642124,174443
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_simple_branch_1024,651,1667,1376,246900,656754,274401,505,1185,434,246900,656754,174455
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_none_branch_512,648,1663,1338,239100,636006,273442,508,1183,470,239100,636006,174136
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_none_branch_512,644,1652,1355,240300,639198,273352,506,1177,457,240300,639198,174298
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_ghb_branch_512,606,1638,1331,243000,646380,272148,505,1188,469,243000,646380,174398
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_ghb_branch_1024,645,1661,1338,240400,639464,273221,511,1182,471,240400,639464,174347
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,641,1632,1336,243400,647444,272184,503,1197,463,243400,647444,174321
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_simple_branch_4096,633,1635,1334,239100,636006,272150,505,1179,470,239100,636006,174246
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_simple_branch_512,649,1667,1324,242300,644518,272427,524,1211,495,242300,644518,176566
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_ghb_branch_4096,646,1678,1322,241200,641592,272428,500,1174,482,241200,641592,175000
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_none_branch_512,656,1672,1362,243500,647710,274596,510,1195,450,243500,647710,174463
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_ghb_branch_1024,645,1652,1340,241800,643188,273297,498,1185,470,241800,643188,174241
