directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_512,117926,10203,6624,17474100,113001,6109,755,17474100
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_ghb_branch_512,118728,8555,6489,15519200,114142,6728,806,15519200
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_2048,118384,8334,6588,18542800,115110,6760,762,18542800
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_ghb_branch_1024,116522,8746,6454,17445900,112903,6763,885,17445900
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,118469,8345,6595,16551300,114674,6767,751,16551300
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_none_branch_4096,118954,8345,6585,16570900,113793,6645,756,16570900
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_1024,118238,8582,6481,15405100,112259,6850,831,15405100
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_ghb_branch_1024,116574,8598,6447,16383000,113326,6563,873,16383000
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_512,118298,8721,6495,17490100,112954,6841,879,17490100
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_simple_branch_4096,118547,8687,6500,16502800,114033,6898,920,16502800
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_ghb_branch_1024,118394,10509,6591,15491200,114534,6243,841,15491200
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_2048,116772,10332,6431,17426800,112585,6012,865,17426800
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_1024,118458,10592,6520,16537900,114731,6285,870,16537900
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_2048,117897,10531,6567,16427700,111522,6281,775,16427700
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,118947,8330,6590,16620100,115147,6644,758,16620100
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_ghb_branch_4096,117661,8614,6554,15510900,113004,6721,868,15510900
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_2048,118340,8620,6512,16489100,114505,6839,860,16489100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_simple_branch_2048,118605,10574,6569,16494100,114107,6169,833,16494100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_4096,117111,10474,6493,15527500,114549,6067,823,15527500
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_ghb_branch_1024,116736,10387,6488,17461600,112903,6133,811,17461600
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_2048,117920,8424,6644,15486300,112943,6667,743,15486300
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_2048,118034,10109,6626,17465300,111899,6129,756,17465300
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_1024,116344,8642,6378,17398600,112647,6422,905,17398600
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_simple_branch_4096,117026,8582,6457,18487700,114244,6861,847,18487700
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_none_branch_2048,118229,8684,6482,17441100,112893,6846,883,17441100
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_simple_branch_512,116389,10384,6433,15423800,112632,6161,871,15423800
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_none_branch_1024,117196,8551,6534,17483800,112987,6746,782,17483800
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_simple_branch_1024,118156,8568,6477,17435200,112447,6724,841,17435200
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_ghb_branch_512,117688,10442,6460,19424000,114843,6265,827,19424000
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,118274,10618,6592,16408900,114370,6213,852,16408900
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_1024,117189,10468,6442,18444400,114543,6278,860,18444400
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_none_branch_1024,118146,8682,6485,18397000,112810,6720,836,18397000
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,116836,8614,6451,16477800,111887,6457,876,16477800
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_1024,116603,8666,6505,18442100,112730,6798,804,18442100
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_none_branch_4096,117700,8592,6527,16444400,112824,6821,792,16444400
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_1024,118269,10439,6554,15535000,113426,6237,877,15535000
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_4096,118339,10472,6571,15515000,114002,6085,805,15515000
/root/snipersim_framework/config_l2_512_l3MB_8192_prefetch_simple_branch_512,116580,8632,6419,18395100,112479,6623,864,18395100
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_ghb_branch_512,116764,8546,6427,17374000,112490,6593,878,17374000
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_none_branch_512,118370,10384,6504,17463600,114303,6265,827,17463600
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_none_branch_1024,118297,8595,6567,17484000,114722,6848,781,17484000
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_simple_branch_1024,117866,10536,6521,17432100,113178,6278,850,17432100
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_2048,116588,10543,6456,17407400,112845,6325,904,17407400
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_simple_branch_1024,116823,8618,6464,19374800,112744,6569,843,19374800
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_2048,116544,8784,6454,17443500,113028,6854,935,17443500
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_2048,116775,8561,6439,17403900,112722,6604,850,17403900
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_1024,116759,10311,6423,17378500,112598,6066,895,17378500
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_none_branch_4096,117767,10183,6617,15501300,112274,6234,760,15501300
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_ghb_branch_1024,118213,8350,6616,17569000,114098,6790,755,17569000
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_simple_branch_4096,116340,10283,6507,18391600,111214,6209,811,18391600
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_2048,118464,8605,6495,15533700,114396,6779,821,15533700
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_ghb_branch_4096,118009,8691,6517,18383200,112660,6738,848,18383200
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_simple_branch_2048,118185,8708,6513,18373900,112407,6696,875,18373900
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,116745,8567,6445,18394700,112211,6599,861,18394700
