directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_simple_branch_512,378984,753004,593056,70689100,401581,175947,12724,70689100
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,485073,773720,591790,69270900,283116,148604,13459,69270900
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,481218,713365,592137,71453300,286329,91954,13388,71453300
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_ghb_branch_512,500271,794118,592393,69844500,273501,180055,12972,69844500
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_1024,438551,785237,592635,70683400,340084,188491,12686,70683400
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_none_branch_2048,474384,790935,592537,68436900,268757,187511,12854,68436900
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_1024,471336,778736,591297,70589200,283992,136758,13700,70589200
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,393721,692352,591895,70969400,405835,128393,13448,70969400
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_512,491737,721104,591106,67314500,273511,75604,14336,67314500
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_512,453413,776446,591938,66584900,263016,138895,13259,66584900
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_512,506171,721285,592330,70139000,285272,85367,12952,70139000
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,463193,797355,592611,69078900,290196,168959,12606,69078900
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_ghb_branch_1024,488003,808406,593069,68284800,279677,169872,13031,68284800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_2048,403532,706208,591390,68594400,377834,102441,13783,68594400
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,497401,766595,592167,70268500,289839,174059,13166,70268500
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_2048,467324,790584,593767,69437800,275028,148637,13094,69437800
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_512,374185,763443,592268,70033700,397138,213977,13777,70033700
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_simple_branch_2048,498112,772598,593127,68763000,273212,143218,11958,68763000
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,433044,759824,591770,67723800,272873,156921,13515,67723800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,369290,708488,593738,68275100,406739,117019,12234,68275100
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,473103,802716,592365,67254300,271939,166247,13203,67254300
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_2048,417229,683467,592111,69522400,363940,98243,12979,69522400
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,458800,771020,593405,68688200,266826,166123,13144,68688200
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_simple_branch_2048,361073,738271,592495,65782300,377998,167128,13948,65782300
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_none_branch_4096,482074,793217,591978,67957200,276747,174514,13142,67957200
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_4096,463037,750608,592088,65402800,248017,129681,13091,65402800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_512,367507,716626,593321,67615900,398143,122004,13300,67615900
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,503423,713666,592488,66460500,254147,80464,12473,66460500
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_512,452331,772351,593234,69202800,277753,152231,13520,69202800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,382507,717116,592560,66285800,323908,98654,13769,66285800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,465764,693523,592322,64885300,266800,87159,12871,64885300
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,399836,691455,593007,71433200,391913,140546,13596,71433200
