Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_simple_branch_1024,6.19,8.11,0.61,1.95,1.59,0.8,0.67,0.53,1.96,1.34,4.85,0.6,0.85,3.41,0.03,19.19
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_none_branch_2048,6.22,8.17,0.61,1.98,1.59,0.81,0.68,0.54,1.96,1.36,4.87,0.6,0.85,3.41,0.03,19.28
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_ghb_branch_512,9.36,8.21,0.62,2.0,1.59,0.81,0.68,0.54,1.98,1.36,4.87,0.6,3.98,3.41,0.03,22.46
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_ghb_branch_512,7.13,8.15,0.61,1.98,1.59,0.8,0.68,0.53,1.95,1.36,4.86,0.6,1.77,3.41,0.03,20.17
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_none_branch_1024,9.34,8.17,0.61,1.98,1.59,0.8,0.68,0.53,1.98,1.35,4.86,0.6,3.98,3.41,0.03,22.41
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_none_branch_4096,7.13,8.16,0.61,1.98,1.59,0.81,0.68,0.53,1.95,1.36,4.86,0.6,1.77,3.41,0.03,20.18
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_none_branch_4096,6.21,8.17,0.61,1.98,1.59,0.81,0.68,0.53,1.96,1.36,4.86,0.6,0.85,3.41,0.03,19.27
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_ghb_branch_4096,6.2,8.15,0.61,1.97,1.59,0.8,0.67,0.53,1.96,1.35,4.86,0.6,0.85,3.41,0.03,19.24
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_simple_branch_4096,9.36,8.23,0.62,2.01,1.59,0.81,0.68,0.54,1.98,1.37,4.87,0.6,3.98,3.41,0.03,22.49
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,9.35,8.19,0.61,1.99,1.59,0.81,0.68,0.54,1.98,1.36,4.86,0.6,3.98,3.41,0.03,22.44
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_simple_branch_512,6.23,8.22,0.62,2.02,1.59,0.81,0.68,0.54,1.96,1.37,4.87,0.6,0.85,3.41,0.03,19.36
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_2048,6.23,8.21,0.62,2.01,1.59,0.81,0.68,0.54,1.96,1.37,4.87,0.6,0.85,3.41,0.03,19.34
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,7.13,8.15,0.61,1.98,1.59,0.8,0.67,0.53,1.95,1.35,4.86,0.6,1.77,3.41,0.03,20.16
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_none_branch_4096,6.22,8.18,0.62,1.99,1.59,0.81,0.68,0.54,1.96,1.36,4.86,0.6,0.85,3.41,0.03,19.3
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,7.15,8.2,0.62,2.01,1.59,0.81,0.68,0.54,1.95,1.37,4.88,0.6,1.77,3.41,0.03,20.25
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_simple_branch_2048,6.18,8.07,0.61,1.92,1.59,0.79,0.67,0.52,1.96,1.33,4.84,0.6,0.85,3.41,0.03,19.12
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_ghb_branch_4096,7.16,8.22,0.62,2.02,1.59,0.81,0.68,0.54,1.95,1.38,4.88,0.61,1.77,3.41,0.03,20.28
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_simple_branch_4096,7.14,8.18,0.62,2.0,1.59,0.81,0.68,0.54,1.95,1.36,4.87,0.6,1.77,3.41,0.03,20.22
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_ghb_branch_4096,9.35,8.19,0.61,1.99,1.59,0.81,0.68,0.54,1.98,1.36,4.86,0.6,3.98,3.41,0.03,22.43
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,9.34,8.17,0.61,1.97,1.59,0.8,0.67,0.53,1.98,1.35,4.86,0.6,3.98,3.41,0.03,22.4
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_ghb_branch_1024,7.13,8.15,0.61,1.98,1.59,0.8,0.68,0.53,1.95,1.36,4.86,0.6,1.77,3.41,0.03,20.17
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_none_branch_512,7.13,8.15,0.61,1.98,1.59,0.8,0.68,0.53,1.95,1.35,4.86,0.6,1.77,3.41,0.03,20.16
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_simple_branch_512,7.14,8.18,0.62,2.0,1.59,0.81,0.68,0.54,1.95,1.36,4.86,0.6,1.77,3.41,0.03,20.21
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_512,6.2,8.15,0.61,1.97,1.59,0.8,0.67,0.53,1.96,1.35,4.86,0.6,0.85,3.41,0.03,19.24
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_none_branch_4096,7.14,8.16,0.61,1.98,1.59,0.81,0.68,0.54,1.95,1.36,4.87,0.6,1.77,3.41,0.03,20.19
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,9.35,8.19,0.61,1.99,1.59,0.81,0.68,0.54,1.98,1.36,4.86,0.6,3.98,3.41,0.03,22.44
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_simple_branch_1024,7.16,8.21,0.62,2.01,1.59,0.81,0.68,0.54,1.95,1.37,4.88,0.6,1.77,3.41,0.03,20.27
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_simple_branch_2048,7.13,8.15,0.61,1.98,1.59,0.81,0.68,0.53,1.95,1.36,4.86,0.6,1.77,3.41,0.03,20.17
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_simple_branch_1024,6.19,8.1,0.61,1.94,1.59,0.8,0.67,0.53,1.96,1.34,4.85,0.6,0.85,3.41,0.03,19.16
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_none_branch_512,9.35,8.2,0.62,1.99,1.59,0.81,0.68,0.54,1.98,1.36,4.87,0.6,3.98,3.41,0.03,22.45
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_none_branch_512,6.21,8.17,0.61,1.98,1.59,0.81,0.68,0.53,1.96,1.36,4.86,0.6,0.85,3.41,0.03,19.27
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_ghb_branch_512,6.2,8.13,0.61,1.96,1.59,0.8,0.67,0.53,1.96,1.35,4.85,0.6,0.85,3.41,0.03,19.21
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_ghb_branch_1024,6.21,8.16,0.61,1.98,1.59,0.81,0.68,0.53,1.96,1.36,4.86,0.6,0.85,3.41,0.03,19.27
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,6.2,8.12,0.61,1.96,1.59,0.8,0.67,0.53,1.96,1.34,4.85,0.6,0.85,3.41,0.03,19.2
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_simple_branch_4096,6.21,8.17,0.62,1.99,1.59,0.81,0.68,0.54,1.96,1.36,4.86,0.6,0.85,3.41,0.03,19.28
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_simple_branch_512,6.21,8.15,0.61,1.97,1.59,0.8,0.67,0.53,1.96,1.35,4.86,0.6,0.85,3.41,0.03,19.25
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_ghb_branch_4096,6.21,8.15,0.61,1.98,1.59,0.8,0.68,0.53,1.96,1.35,4.86,0.6,0.85,3.41,0.03,19.25
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_none_branch_512,6.2,8.14,0.61,1.97,1.59,0.8,0.67,0.53,1.96,1.35,4.85,0.6,0.85,3.41,0.03,19.23
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_ghb_branch_1024,9.34,8.17,0.61,1.97,1.59,0.8,0.67,0.53,1.98,1.35,4.86,0.6,3.98,3.41,0.03,22.4
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_none_branch_2048,9.34,8.16,0.61,1.96,1.59,0.8,0.67,0.53,1.98,1.35,4.86,0.6,3.98,3.41,0.03,22.38
