directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-96000010-periodicins-97000006-999996.txt,periodicins-96000010,periodicins-97000006,13.3979,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1069000004-periodicins-1070000012-1000008.txt,periodicins-1069000004,periodicins-1070000012,33.9469,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-809000004-periodicins-810000003-999999.txt,periodicins-809000004,periodicins-810000003,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-693000004-periodicins-694000088-1000084.txt,periodicins-693000004,periodicins-694000088,30.7806,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1011000049-periodicins-1012000049-1000000.txt,periodicins-1011000049,periodicins-1012000049,36.3826,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-367000028-periodicins-368000050-1000022.txt,periodicins-367000028,periodicins-368000050,35.8285,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-304000028-periodicins-305000032-1000004.txt,periodicins-304000028,periodicins-305000032,35.4292,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-411000002-periodicins-412000005-1000003.txt,periodicins-411000002,periodicins-412000005,21.3796,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-637000052-periodicins-638000059-1000007.txt,periodicins-637000052,periodicins-638000059,42.8064,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-296000049-periodicins-297000045-999996.txt,periodicins-296000049,periodicins-297000045,34.1733,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-662000003-periodicins-663000005-1000002.txt,periodicins-662000003,periodicins-663000005,30.3653,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1038000006-periodicins-1039000022-1000016.txt,periodicins-1038000006,periodicins-1039000022,35.8421,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-410000007-periodicins-411000002-999995.txt,periodicins-410000007,periodicins-411000002,20.4273,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-865000013-periodicins-866000003-999990.txt,periodicins-865000013,periodicins-866000003,35.1392,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-42000012-periodicins-43000001-999989.txt,periodicins-42000012,periodicins-43000001,9.59128,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-928000073-periodicins-929000020-999947.txt,periodicins-928000073,periodicins-929000020,36.1738,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-159000001-periodicins-160000011-1000010.txt,periodicins-159000001,periodicins-160000011,15.2076,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-132000002-periodicins-133000003-1000001.txt,periodicins-132000002,periodicins-133000003,12.0721,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-46000006-periodicins-47000003-999997.txt,periodicins-46000006,periodicins-47000003,9.20044,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-120000005-periodicins-121000004-999999.txt,periodicins-120000005,periodicins-121000004,14.5875,0.0,0.0
