directory,period,start,roi-begin,roi-end,stop,branch_predictor.num-correct_core0,branch_predictor.num-correct_core1,branch_predictor.num-incorrect_core0,branch_predictor.num-incorrect_core1,L2.load-misses_core0,L2.load-misses_core1,L2.loads_core0,L2.loads_core1,L2.stores_core0,L2.stores_core1,L2.store-misses_core0,L2.store-misses_core1,core.instructions_core0,core.instructions_core1,performance_model.elapsed_time_core0,performance_model.elapsed_time_core1,performance_model.idle_elapsed_time_core0,performance_model.idle_elapsed_time_core1,performance_model.instruction_count_core0,performance_model.instruction_count_core1,L3.load-misses_core0,L3.load-misses_core1,L3.loads_core0,L3.loads_core1,L3.stores_core0,L3.stores_core1,L3.store-misses_core0,L3.store-misses_core1
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-8800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1158,0,9352628974,0,35713301,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-9200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,865,0,9678192148,0,74436826,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-9600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1542,0,10257890086,0,179697938,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-10000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1100,0,10707893815,0,13908839,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-10400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,671,0,10960148884,0,147744931,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-10800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1616,0,11568042247,0,207893363,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-11200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,192,0,11640222535,0,327819712,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-11600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,2169,0,12456010165,0,415787630,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-12000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,12456010165,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-12400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,1192,0,12942480203,0,48495227,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-12800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,876,0,13272178706,0,70301497,400000000,3,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-13200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,9480,0,16836080426,0,3163901720,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-13600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,16836080426,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-14000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,16836080426,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-14400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,16836080426,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-14800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,16836080426,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
